x   host1          host2 
226 4.31 GBytes 37 Gbits/sec       3.74 GBytes 32.2 Gbits/sec
227 4.1 GBytes 35.2 Gbits/sec       4.09 GBytes 35.1 Gbits/sec
228 3.87 GBytes 33.3 Gbits/sec       3.7 GBytes 31.8 Gbits/sec
229 4.12 GBytes 35.4 Gbits/sec       3.95 GBytes 34 Gbits/sec
230 4.46 GBytes 38.3 Gbits/sec       3.92 GBytes 33.7 Gbits/sec
231 4.02 GBytes 34.5 Gbits/sec       4.19 GBytes 36 Gbits/sec
232 4.22 GBytes 36.2 Gbits/sec       4.36 GBytes 37.5 Gbits/sec
233 4.53 GBytes 38.9 Gbits/sec       3.42 GBytes 29.4 Gbits/sec
234 4.34 GBytes 37.3 Gbits/sec       4 GBytes 34.3 Gbits/sec
235 3.1 GBytes 26.6 Gbits/sec       3.65 GBytes 31.4 Gbits/sec
236 4.18 GBytes 35.9 Gbits/sec       3.69 GBytes 31.7 Gbits/sec
237 3.69 GBytes 31.7 Gbits/sec       3.48 GBytes 29.9 Gbits/sec
238 4.47 GBytes 38.4 Gbits/sec       3.87 GBytes 33.2 Gbits/sec
239 4.23 GBytes 36.3 Gbits/sec       3.41 GBytes 29.3 Gbits/sec
240 4.17 GBytes 35.8 Gbits/sec       3.16 GBytes 27.2 Gbits/sec
241 3.71 GBytes 31.8 Gbits/sec       3.9 GBytes 33.5 Gbits/sec
242 3.99 GBytes 34.3 Gbits/sec       3.9 GBytes 33.5 Gbits/sec
243 4.45 GBytes 38.3 Gbits/sec       4.01 GBytes 34.5 Gbits/sec
244 4.72 GBytes 40.5 Gbits/sec       2.95 GBytes 25.4 Gbits/sec
245 3.77 GBytes 32.4 Gbits/sec       4.59 GBytes 39.4 Gbits/sec
246 4.01 GBytes 34.5 Gbits/sec       4.19 GBytes 35.9 Gbits/sec
247 4.6 GBytes 39.5 Gbits/sec       3.33 GBytes 28.6 Gbits/sec
248 4.12 GBytes 35.4 Gbits/sec       3.02 GBytes 26 Gbits/sec
249 3.93 GBytes 33.8 Gbits/sec       3.81 GBytes 32.7 Gbits/sec
250 4.49 GBytes 38.5 Gbits/sec       3.68 GBytes 31.6 Gbits/sec
251 3.87 GBytes 33.2 Gbits/sec       4.08 GBytes 35.1 Gbits/sec
252 4.19 GBytes 36 Gbits/sec       4.26 GBytes 36.6 Gbits/sec
253 4.26 GBytes 36.6 Gbits/sec       4.14 GBytes 35.6 Gbits/sec
254 4.39 GBytes 37.7 Gbits/sec       3.85 GBytes 33.1 Gbits/sec
255 4.23 GBytes 36.3 Gbits/sec       4.12 GBytes 35.4 Gbits/sec
256 4.43 GBytes 38 Gbits/sec       3.79 GBytes 32.6 Gbits/sec
257 4.21 GBytes 36.2 Gbits/sec       4.17 GBytes 35.8 Gbits/sec
258 4.09 GBytes 35.1 Gbits/sec       4.23 GBytes 36.4 Gbits/sec
259 3.88 GBytes 33.3 Gbits/sec       4.07 GBytes 35 Gbits/sec
260 4.07 GBytes 35 Gbits/sec       4.02 GBytes 34.5 Gbits/sec
261 4.2 GBytes 36.1 Gbits/sec       3.58 GBytes 30.8 Gbits/sec
262 4.37 GBytes 37.5 Gbits/sec       3.57 GBytes 30.7 Gbits/sec
263 4.07 GBytes 35 Gbits/sec       4.52 GBytes 38.8 Gbits/sec
264 3.82 GBytes 32.8 Gbits/sec       4.16 GBytes 35.7 Gbits/sec
265 3.92 GBytes 33.7 Gbits/sec       3.83 GBytes 32.9 Gbits/sec
266 3.44 GBytes 29.5 Gbits/sec       3.75 GBytes 32.2 Gbits/sec
267 3.33 GBytes 28.6 Gbits/sec       4.31 GBytes 37.1 Gbits/sec
268 4.71 GBytes 40.5 Gbits/sec       2.48 GBytes 21.3 Gbits/sec
269 4.73 GBytes 40.6 Gbits/sec       2.52 GBytes 21.7 Gbits/sec
270 4.54 GBytes 39 Gbits/sec       2.65 GBytes 22.7 Gbits/sec
271 3.96 GBytes 34 Gbits/sec       3.04 GBytes 26.1 Gbits/sec
272 3.32 GBytes 28.5 Gbits/sec       4.17 GBytes 35.8 Gbits/sec
273 3.3 GBytes 28.3 Gbits/sec       4.2 GBytes 36.1 Gbits/sec
274 4.22 GBytes 36.2 Gbits/sec       3.04 GBytes 26.1 Gbits/sec
275 3.97 GBytes 34.1 Gbits/sec       3.95 GBytes 33.9 Gbits/sec
276 3.5 GBytes 30.1 Gbits/sec       3.83 GBytes 32.9 Gbits/sec
277 3.26 GBytes 28 Gbits/sec       4.12 GBytes 35.4 Gbits/sec
278 3.68 GBytes 31.6 Gbits/sec       3.72 GBytes 32 Gbits/sec
279 4.27 GBytes 36.7 Gbits/sec       2.98 GBytes 25.6 Gbits/sec
280 3.15 GBytes 27 Gbits/sec       4.41 GBytes 37.9 Gbits/sec
281 4.42 GBytes 38 Gbits/sec       2.63 GBytes 22.6 Gbits/sec
282 4.7 GBytes 40.4 Gbits/sec       2.39 GBytes 20.5 Gbits/sec
283 3.84 GBytes 33 Gbits/sec       4.14 GBytes 35.6 Gbits/sec
284 4.89 GBytes 42 Gbits/sec       2.08 GBytes 17.9 Gbits/sec
285 5.04 GBytes 43.3 Gbits/sec       2.06 GBytes 17.7 Gbits/sec
286 4.07 GBytes 35 Gbits/sec       3.89 GBytes 33.4 Gbits/sec
287 3.67 GBytes 31.5 Gbits/sec       3.76 GBytes 32.3 Gbits/sec
288 4.18 GBytes 35.9 Gbits/sec       4.27 GBytes 36.7 Gbits/sec
289 3.95 GBytes 33.9 Gbits/sec       4.07 GBytes 35 Gbits/sec
290 3.75 GBytes 32.2 Gbits/sec       4.15 GBytes 35.6 Gbits/sec
291 4.06 GBytes 34.9 Gbits/sec       4.61 GBytes 39.6 Gbits/sec
292 4.16 GBytes 35.7 Gbits/sec       4.13 GBytes 35.5 Gbits/sec
293 4.03 GBytes 34.6 Gbits/sec       4.01 GBytes 34.4 Gbits/sec
294 4.15 GBytes 35.7 Gbits/sec       4.28 GBytes 36.7 Gbits/sec
295 4.07 GBytes 35 Gbits/sec       4.17 GBytes 35.8 Gbits/sec
296 4.46 GBytes 38.3 Gbits/sec       4.04 GBytes 34.7 Gbits/sec
297 4.78 GBytes 41 Gbits/sec       3.75 GBytes 32.2 Gbits/sec
298 3.88 GBytes 33.3 Gbits/sec       4.46 GBytes 38.3 Gbits/sec
299 4.07 GBytes 35 Gbits/sec       4.53 GBytes 38.9 Gbits/sec
300 3.53 GBytes 30.4 Gbits/sec       4.23 GBytes 36.4 Gbits/sec
301 3.91 GBytes 33.6 Gbits/sec       3.76 GBytes 32.3 Gbits/sec
302 3.97 GBytes 34.1 Gbits/sec       4.38 GBytes 37.6 Gbits/sec
303 4.32 GBytes 37.1 Gbits/sec       4.12 GBytes 35.3 Gbits/sec
304 4.18 GBytes 35.9 Gbits/sec       3.78 GBytes 32.5 Gbits/sec
305 3.84 GBytes 33 Gbits/sec       4.01 GBytes 34.4 Gbits/sec
306 4.19 GBytes 36 Gbits/sec       4.21 GBytes 36.1 Gbits/sec
307 3.75 GBytes 32.2 Gbits/sec       4 GBytes 34.3 Gbits/sec
308 4.01 GBytes 34.5 Gbits/sec       4.51 GBytes 38.7 Gbits/sec
309 4.61 GBytes 39.6 Gbits/sec       3.48 GBytes 29.9 Gbits/sec
310 3.86 GBytes 33.2 Gbits/sec       3.4 GBytes 29.2 Gbits/sec
311 4.14 GBytes 35.5 Gbits/sec       3.1 GBytes 26.6 Gbits/sec
312 3.7 GBytes 31.8 Gbits/sec       3.66 GBytes 31.4 Gbits/sec
313 4.16 GBytes 35.7 Gbits/sec       4.17 GBytes 35.9 Gbits/sec
314 4.03 GBytes 34.6 Gbits/sec       4.33 GBytes 37.2 Gbits/sec
315 3.99 GBytes 34.3 Gbits/sec       4.29 GBytes 36.9 Gbits/sec
316 4.05 GBytes 34.8 Gbits/sec       3.85 GBytes 33.1 Gbits/sec
317 4.17 GBytes 35.8 Gbits/sec       4.25 GBytes 36.5 Gbits/sec
318 3.94 GBytes 33.9 Gbits/sec       4.01 GBytes 34.4 Gbits/sec
319 3.6 GBytes 30.9 Gbits/sec       3.43 GBytes 29.5 Gbits/sec
320 3.62 GBytes 31.1 Gbits/sec       3.92 GBytes 33.7 Gbits/sec
